,LotFrontage,LotArea,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,BsmtQual,BsmtExposure,BsmtFinType1,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,Neighborhood_NoRidge,Neighborhood_NridgHt,Exterior1st_VinylSd,Exterior2nd_VinylSd,MasVnrType_None,MasVnrType_Stone,Foundation_CBlock,Foundation_PConc,GarageType_Attchd,GarageType_Detchd,SaleType_New,SaleCondition_Partial,HouseAge,RemodelAge,TotalSf,TotalBathrooms,TotalLivArea
0,4.189654742026425,9.042040056544483,7,2003,2003,5.2832037287379885,2.0,3.0,0.0,6.0,856,4.0,6.75343791859778,854,7.444833273892193,2,2.0,8,0,0.0,2.0,2,548,0,61,0,0,1,1,0,0,0,1,1,0,0,0,5,5,1716.7534379185977,3.5,863.4448332738922
1,4.394449154672439,9.169622538697624,6,1976,1976,0.0,1.0,3.0,3.0,5.0,1262,4.0,7.141245122350491,0,7.141245122350491,2,1.0,6,1,3.0,2.0,2,460,298,0,0,0,0,0,1,0,1,0,1,0,0,0,31,31,1269.1412451223505,2.5,1269.1412451223505
2,4.23410650459726,9.328212292571072,7,2001,2002,5.093750200806762,2.0,3.0,1.0,6.0,920,4.0,6.825460036255307,866,7.488293515159428,2,2.0,6,1,3.0,2.0,2,608,0,42,0,0,1,1,0,0,0,1,1,0,0,0,7,6,1792.8254600362552,3.5,927.4882935151594
3,4.110873864173311,9.164401140034737,7,1915,1970,0.0,1.0,2.0,0.0,5.0,756,3.0,6.8690144506657065,756,7.4489161025442,1,2.0,7,1,4.0,1.0,3,642,0,35,0,0,0,0,1,0,0,0,0,1,0,0,91,36,1518.8690144506659,2.0,763.4489161025442
4,4.442651256490317,9.565283817736766,8,2000,2000,5.860786223465865,2.0,3.0,2.0,6.0,1145,4.0,7.044032897274685,1053,7.695757990554761,2,2.0,9,1,3.0,2.0,3,836,192,84,1,0,1,1,0,0,0,1,1,0,0,0,8,8,2205.0440328972745,3.5,1152.6957579905547
5,4.454347296253507,9.55506418479516,5,1993,1995,0.0,1.0,3.0,0.0,6.0,796,4.0,6.680854678790215,566,7.217443431696533,1,1.0,5,0,0.0,1.0,2,480,40,30,0,0,1,1,1,0,0,0,1,0,0,0,16,14,1368.6808546787902,2.5,803.2174434316966
6,4.330733340286331,9.218804450388312,8,2004,2005,5.231108616854587,2.0,4.0,2.0,6.0,1686,4.0,7.43543801981455,0,7.43543801981455,2,2.0,7,1,4.0,2.0,2,636,255,57,0,0,1,1,0,1,0,1,1,0,0,0,3,2,1693.4354380198145,3.0,1693.4354380198145
7,4.248495242049359,9.247925132303454,7,1973,1973,5.484796933490655,1.0,3.0,1.0,5.0,1107,4.0,7.010311867307229,983,7.645397699428633,2,1.0,7,2,3.0,2.0,2,484,235,204,0,0,0,0,0,1,1,0,1,0,0,0,36,36,2097.0103118673073,3.5,1114.6453976994287
8,3.9512437185814275,8.71948076085107,7,1931,1950,0.0,1.0,2.0,0.0,1.0,952,3.0,6.930494765951626,752,7.4815557019095165,2,1.0,8,2,3.0,1.0,2,468,90,0,0,0,0,0,1,0,0,0,0,1,0,0,77,58,1710.9304947659516,2.0,959.4815557019095
9,3.9318256327243257,8.912069097970134,5,1939,1950,0.0,1.0,2.0,0.0,6.0,991,4.0,6.982862751468942,0,6.982862751468942,1,1.0,5,2,3.0,2.0,1,205,0,4,0,0,0,0,1,0,0,0,1,0,0,0,69,58,997.9828627514689,2.0,997.9828627514689
